Timestamp,LOSindex,Distance,RWS,DRWS,CNR,Tilt,Roll,RWSStatus,OverrunStatus
2020-09-03T19:10:22.547+00:00,3,178,5,1.15,-5.94,4.99,0,1,1
2020-09-03T19:10:26.547+00:00,3,178,4.93,1.15,-6.08,5,-0.03,1,1
2020-09-03T19:10:30.547+00:00,3,178,3.95,1.18,-6.09,4.98,-0.01,1,1
2020-09-03T19:10:34.546+00:00,3,178,5.34,1.15,-6.16,4.98,-0.02,1,1
2020-09-03T19:10:38.546+00:00,3,178,5.13,1.13,-6.33,5,-0.06,1,1
2020-09-03T19:10:42.546+00:00,3,178,6.46,1.15,-6.18,4.99,-0.04,1,1
2020-09-03T19:10:46.547+00:00,3,178,5.37,1.18,-6.54,5,-0.02,1,1
2020-09-03T19:10:50.546+00:00,3,178,2.99,1.32,-6.3,5.01,-0.01,1,1
2020-09-03T19:10:54.547+00:00,3,178,3.71,1.22,-6.57,5,-0.01,1,1
2020-09-03T19:10:58.547+00:00,3,178,3.92,1.15,-6.71,5,-0.02,1,1
2020-09-03T19:11:02.546+00:00,3,178,5.37,1.19,-6.56,5.02,-0.03,1,1
2020-09-03T19:11:06.547+00:00,3,178,4.17,1.22,-6.66,5.02,-0.03,1,1
2020-09-03T19:11:10.546+00:00,3,178,3.55,1.3,-6.52,4.99,0.01,1,1
2020-09-03T19:11:14.547+00:00,3,178,2.7,1.32,-6.51,5.01,0.03,1,1
2020-09-03T19:11:18.546+00:00,3,178,3.02,1.1,-6.46,5.02,-0.01,1,1
2020-09-03T19:11:22.547+00:00,3,178,4.17,1.15,-6.38,4.99,-0.03,1,1
2020-09-03T19:11:26.547+00:00,3,178,4.51,1.3,-6.33,4.97,0.01,1,1
2020-09-03T19:11:30.546+00:00,3,178,4.5,1.18,-6.21,5.06,-0.05,1,1
2020-09-03T19:11:34.547+00:00,3,178,5.36,1.15,-5.96,5.01,-0.03,1,1
2020-09-03T19:11:38.547+00:00,3,178,4.03,1.19,-5.68,5,0.01,1,1
2020-09-03T19:11:42.548+00:00,3,178,4.83,1.27,-5.6,4.99,-0.03,1,1
2020-09-03T19:11:46.547+00:00,3,178,4.96,1.3,-4.77,5,0,1,1
2020-09-03T19:11:50.547+00:00,3,178,3.63,1.32,-4.36,5,-0.06,1,1
2020-09-03T19:11:54.546+00:00,3,178,3.73,1.15,-4.58,4.99,-0.04,1,1
2020-09-03T19:11:58.546+00:00,3,178,3.41,1.35,-4.56,5,-0.01,1,1
2020-09-03T19:12:02.547+00:00,3,178,3.06,1.13,-4.85,4.99,0,1,1
2020-09-03T19:12:06.546+00:00,3,178,4.1,1.18,-4.96,5.04,-0.05,1,1
2020-09-03T19:12:10.547+00:00,3,178,2.85,1.13,-4.97,5.03,0.03,1,1
2020-09-03T19:12:14.547+00:00,3,178,2.8,1.1,-5.08,5.01,-0.02,1,1
